param n := 12;
param m := 12;
param r := 3;
param s := 12;

param A:   1   2   3   4   5   6   7   8   9   10   11   12 :=
      1    1   0   0   0   0   0   0   0   0   0    0    0
      2    0   1   0   0   0   0   0   0   0   0    0    0
      3    0   0   1   0   0   0   0   0   0   0    0    0
      4    0   0   0   1   0   0   0   0   0   0    0    0
      5    0   0   0   0   1   0   0   0   0   0    0    0
      6    0   0   0   0   0   1   0   0   0   0    0    0
      7    0   0   0   0   0   0   1   0   0   0    0    0
      8    0   0   0   0   0   0   0   1   0   0    0    0
      9    0   0   0   0   0   0   0   0   1   0    0    0
      10   0   0   0   0   0   0   0   0   0   1    0    0
      11   0   0   0   0   0   0   0   0   0   0    1    0
      12   0   0   0   0   0   0   0   0   0   0    0    1;

param B := 
      1   21
      2   12
      3   23
      4   17
      5   13
      6   25
      7   19
      8   17
      9   31
      10  47
      11  38
      12  27;

param D:   1   2   3   4   5   6   7   8   9   10   11   12 :=
      1    1   1   0   0   0  -1  -1  -1   0   0    0    0
      2    0   0   1   0   1   1   0   0  -1  -1    0    0
      3    0   0   0   1   0   0   1   0   1   0   -1   -1;

param E :=
      1   0
      2   0
      3   0; 
      
param C :=
	  1   0
	  2   0
	  3   0
	  4   0
	  5   0
	  6   0
	  7   0
	  8   1
	  9   0
	  10  1
	  11  1
	  12  1;
